FIPs,SummerMeanO3,O3Top10Mean
12087972600,28.2062503267974,56.03028
12087972400,28.1966065359477,55.99517
12087972300,28.219362745098,56.02625
12087972000,28.1885692810458,56.11774
12087972200,28.2127254901961,56.07489
12087972500,28.3675790849673,55.8538
12087972100,28.2545385620915,56.1252
12087971900,28.192637254902,56.06991
12087971800,28.2178954248366,56.19452
12087971700,28.1308071895425,56.21884
12087980100,28.7436836601307,54.06735
12087971600,27.9743124183007,56.33973
12087971401,27.5698503267974,56.55213
12087971501,27.8185941176471,56.31709
12087971502,27.6286784313725,56.31332
12087971300,27.2373248366013,56.92343
12087971200,27.1998588235294,57.00343
12087971402,27.5533222222222,56.51217
12087971100,27.1675261437908,56.96646
12087971001,27.1081758169935,57.00465
12087971002,26.9117732026144,57.29977
12087970900,26.6406490196078,57.74214
12087970800,26.5107267973856,58.01357
12087970700,26.4431411764706,58.03168
12087970600,26.3929019607843,57.98041
12087970500,26.3355437908497,58.03334
12087970400,26.2906346405229,58.01458
12087970300,26.2386960784314,58.08802
12087970200,26.1216751633987,58.32288
12086011404,25.3479169934641,55.26584
12086011401,25.7285111111111,57.31702
12086980100,26.4105437908497,59.68398
12086011403,25.6269424836601,56.91409
12086011300,25.6957973856209,57.10758
12086011007,25.8137032679739,57.49447
12086011101,25.7515065359477,57.23584
12086011001,25.8102241830065,57.41233
12086011009,25.8874222222222,57.64335
12086011003,25.8533562091503,57.57629
12086011202,25.7876013071895,57.31515
12086011008,25.9235137254902,57.77403
12086011005,25.908622875817,57.7097
12086980700,25.989454248366,58.03617
12086011201,25.7971281045752,57.33548
12086010900,25.9105653594771,57.71503
12086010704,26.0664091503268,58.36819
12086011102,25.8818490196078,57.60638
12086010801,25.9793535947712,57.82813
12087980000,25.793768627451,55.90607
12086010802,26.027314379085,58.03505
12086010703,26.1259130718954,58.20157
12086980600,26.3153104575163,59.02767
12086010500,26.2485640522876,58.54021
12086010400,26.2092248366013,58.37477
12086010300,26.1329222222222,58.02062
12086010617,26.2975973856209,58.84417
12086010614,26.2798777777778,58.7084
12086010612,26.3947954248366,59.07284
12086010609,26.3898431372549,58.88457
12086010209,26.382131372549,58.67271
12086010210,26.3939803921569,58.75131
12086010613,26.4787986928105,59.32667
12086010608,26.4307189542484,59.02553
12086010201,26.3692339869281,58.49363
12086010606,26.4812705882353,59.00852
12086010610,26.517385620915,59.30542
12086010205,26.490068627451,58.86415
12086010208,26.4873529411765,58.85223
12086010204,26.4762921568627,58.75228
12086010207,26.5083823529412,58.89725
12086010604,26.5305967320261,59.15005
