pollutant,revoked_naaqs,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1992,pw_1993,pw_1994,pw_1995,pw_1996,pw_1997,pw_1998,pw_1999,pw_2000,pw_2001,pw_2002,pw_2003,pw_2004,pw_2005,pw_2006,pw_2007,pw_2008,pw_2009,pw_2010,pw_2011,pw_2012,pw_2013,pw_2014,pw_2015,pw_2016,pw_2017,pw_2018,pw_2019,pw_2020,pw_2021,pw_2022,exportdt
Carbon Monoxide (1971),,ALASKA,AK,2,20,Anchorage Municipality,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-10 (1987),,ALASKA,AK,2,20,Anchorage Municipality,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,2022/4/30
Carbon Monoxide (1971),,ALASKA,AK,2,90,Fairbanks North Star Borough,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,ALASKA,AK,2,90,Fairbanks North Star Borough,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-10 (1987),,ALASKA,AK,2,110,Juneau City and Borough,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,2022/4/30
Sulfur Dioxide (1971),,ALABAMA,AL,1,33,Colbert Co,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,ALABAMA,AL,1,71,Jackson Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,ALABAMA,AL,1,73,Jefferson Co,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ALABAMA,AL,1,73,Jefferson Co,,,,,,,,,,,,,W,W,,,,,,,,,,,,,,,,,,2022/4/30
Lead (1978),,ALABAMA,AL,1,73,Jefferson Co,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,ALABAMA,AL,1,73,Jefferson Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,ALABAMA,AL,1,73,Jefferson Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
Sulfur Dioxide (1971),,ALABAMA,AL,1,77,Lauderdale Co,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Lead (2008),,ALABAMA,AL,1,109,Pike Co,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,ALABAMA,AL,1,117,Shelby Co,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ALABAMA,AL,1,117,Shelby Co,,,,,,,,,,,,,W,W,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,ALABAMA,AL,1,117,Shelby Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,ALABAMA,AL,1,117,Shelby Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,ALABAMA,AL,1,127,Walker Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,ALABAMA,AL,1,127,Walker Co,,,,,,,,,,,,,,,,,,P,P,P,P,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ARKANSAS,AR,5,35,Crittenden Co,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ARKANSAS,AR,5,35,Crittenden Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,2022/4/30
PM-10 (1987),,ARIZONA,AZ,4,3,Cochise Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
Sulfur Dioxide (1971),,ARIZONA,AZ,4,3,Cochise Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2015),,ARIZONA,AZ,4,7,Gila Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
Lead (2008),,ARIZONA,AZ,4,7,Gila Co,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,2022/4/30
PM-10 (1987),,ARIZONA,AZ,4,7,Gila Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
Sulfur Dioxide (1971),,ARIZONA,AZ,4,7,Gila Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,ARIZONA,AZ,4,7,Gila Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,2022/4/30
Sulfur Dioxide (1971),,ARIZONA,AZ,4,11,Greenlee Co,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,ARIZONA,AZ,4,13,Maricopa Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ARIZONA,AZ,4,13,Maricopa Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ARIZONA,AZ,4,13,Maricopa Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
8-Hour Ozone (2015),,ARIZONA,AZ,4,13,Maricopa Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
Carbon Monoxide (1971),,ARIZONA,AZ,4,13,Maricopa Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2022/4/30
PM-10 (1987),,ARIZONA,AZ,4,13,Maricopa Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-10 (1987),,ARIZONA,AZ,4,15,Mohave Co,,,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Carbon Monoxide (1971),,ARIZONA,AZ,4,19,Pima Co,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-10 (1987),,ARIZONA,AZ,4,19,Pima Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
Sulfur Dioxide (1971),,ARIZONA,AZ,4,19,Pima Co,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ARIZONA,AZ,4,21,Pinal Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ARIZONA,AZ,4,21,Pinal Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
8-Hour Ozone (2015),,ARIZONA,AZ,4,21,Pinal Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
Lead (2008),,ARIZONA,AZ,4,21,Pinal Co,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,2022/4/30
PM-10 (1987),,ARIZONA,AZ,4,21,Pinal Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-2.5 (2006),,ARIZONA,AZ,4,21,Pinal Co,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
Sulfur Dioxide (1971),,ARIZONA,AZ,4,21,Pinal Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
Sulfur Dioxide (2010),,ARIZONA,AZ,4,21,Pinal Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-10 (1987),,ARIZONA,AZ,4,23,Santa Cruz Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-2.5 (2006),,ARIZONA,AZ,4,23,Santa Cruz Co,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
8-Hour Ozone (2015),,ARIZONA,AZ,4,27,Yuma Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
PM-10 (1987),,ARIZONA,AZ,4,27,Yuma Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,1,Alameda Co,,,,,,,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,1,Alameda Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,1,Alameda Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,1,Alameda Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,CALIFORNIA,CA,6,1,Alameda Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,1,Alameda Co,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,5,Amador Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,5,Amador Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,7,Butte Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,7,Butte Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,7,Butte Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,7,Butte Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,CALIFORNIA,CA,6,7,Butte Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,7,Butte Co,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,9,Calaveras Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,9,Calaveras Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,9,Calaveras Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,13,Contra Costa Co,,,,,,,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,13,Contra Costa Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,13,Contra Costa Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,13,Contra Costa Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,CALIFORNIA,CA,6,13,Contra Costa Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,13,Contra Costa Co,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,17,El Dorado Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,17,El Dorado Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,17,El Dorado Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,17,El Dorado Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
Carbon Monoxide (1971),,CALIFORNIA,CA,6,17,El Dorado Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,17,El Dorado Co,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,19,Fresno Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,19,Fresno Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,19,Fresno Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,19,Fresno Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,CALIFORNIA,CA,6,19,Fresno Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-10 (1987),,CALIFORNIA,CA,6,19,Fresno Co,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,CALIFORNIA,CA,6,19,Fresno Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,19,Fresno Co,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
PM-2.5 (2012),,CALIFORNIA,CA,6,19,Fresno Co,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,25,Imperial Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,25,Imperial Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,25,Imperial Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,25,Imperial Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
PM-10 (1987),,CALIFORNIA,CA,6,25,Imperial Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,25,Imperial Co,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-2.5 (2012),,CALIFORNIA,CA,6,25,Imperial Co,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,2022/4/30
PM-10 (1987),,CALIFORNIA,CA,6,27,Inyo Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,29,Kern Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,29,Kern Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,29,Kern Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,29,Kern Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
Carbon Monoxide (1971),,CALIFORNIA,CA,6,29,Kern Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-10 (1987),,CALIFORNIA,CA,6,29,Kern Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-2.5 (1997),,CALIFORNIA,CA,6,29,Kern Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,29,Kern Co,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-2.5 (2012),,CALIFORNIA,CA,6,29,Kern Co,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,31,Kings Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,31,Kings Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,31,Kings Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,31,Kings Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
PM-10 (1987),,CALIFORNIA,CA,6,31,Kings Co,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,CALIFORNIA,CA,6,31,Kings Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,31,Kings Co,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
PM-2.5 (2012),,CALIFORNIA,CA,6,31,Kings Co,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,37,Los Angeles Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,37,Los Angeles Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,37,Los Angeles Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,37,Los Angeles Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
Carbon Monoxide (1971),,CALIFORNIA,CA,6,37,Los Angeles Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,2022/4/30
Lead (2008),,CALIFORNIA,CA,6,37,Los Angeles Co,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
Nitrogen Dioxide (1971),,CALIFORNIA,CA,6,37,Los Angeles Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-10 (1987),,CALIFORNIA,CA,6,37,Los Angeles Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,CALIFORNIA,CA,6,37,Los Angeles Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,37,Los Angeles Co,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-2.5 (2012),,CALIFORNIA,CA,6,37,Los Angeles Co,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,39,Madera Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,39,Madera Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,39,Madera Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,39,Madera Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
PM-10 (1987),,CALIFORNIA,CA,6,39,Madera Co,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,CALIFORNIA,CA,6,39,Madera Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,39,Madera Co,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
PM-2.5 (2012),,CALIFORNIA,CA,6,39,Madera Co,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,41,Marin Co,,,,,,,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,41,Marin Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,41,Marin Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,41,Marin Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,CALIFORNIA,CA,6,41,Marin Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,41,Marin Co,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,43,Mariposa Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,43,Mariposa Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,43,Mariposa Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,47,Merced Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,47,Merced Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,47,Merced Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,47,Merced Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
PM-10 (1987),,CALIFORNIA,CA,6,47,Merced Co,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,CALIFORNIA,CA,6,47,Merced Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,47,Merced Co,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
PM-2.5 (2012),,CALIFORNIA,CA,6,47,Merced Co,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,2022/4/30
PM-10 (1987),,CALIFORNIA,CA,6,51,Mono Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,53,Monterey Co,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,6,55,Napa Co,,,,,,,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,6,55,Napa Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,CALIFORNIA,CA,6,55,Napa Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,CALIFORNIA,CA,6,55,Napa Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,CALIFORNIA,CA,6,55,Napa Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,CALIFORNIA,CA,6,55,Napa Co,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
