month,day,hour,WD,WS
1,1,6.0,110.0,1.5
1,1,8.0,130.0,1.5
1,1,10.0,130.0,2.1
1,1,11.0,120.0,2.1
1,1,12.0,130.0,2.1
1,1,13.0,140.0,2.6
1,1,14.0,140.0,2.6
1,1,15.0,100.0,2.6
1,1,16.0,130.0,1.5
1,1,17.0,110.0,2.6
1,1,18.0,120.0,5.1
1,1,19.0,140.0,5.1
1,1,20.0,180.0,3.1
1,1,21.0,230.0,4.1
1,1,22.0,240.0,5.7
1,2,1.0,120.0,1.5
1,2,2.0,130.0,1.5
1,2,3.0,150.0,1.5
1,2,4.0,110.0,2.1
1,2,5.0,130.0,1.5
1,2,6.0,120.0,2.1
1,2,7.0,120.0,2.1
1,2,8.0,100.0,1.5
1,2,9.0,110.0,2.1
1,2,10.0,130.0,2.1
1,2,11.0,150.0,3.6
1,2,12.0,120.0,2.6
1,2,13.0,110.0,2.6
1,2,14.0,110.0,2.1
1,2,15.0,110.0,2.1
1,2,16.0,110.0,2.1
1,2,17.0,130.0,2.6
1,2,18.0,150.0,2.1
1,2,19.0,140.0,2.1
1,2,20.0,130.0,1.5
1,2,21.0,120.0,2.1
1,2,23.0,160.0,1.5
1,3,4.0,10.0,2.1
1,3,21.0,160.0,1.5
1,3,22.0,210.0,2.1
1,4,13.0,40.0,1.5
1,4,18.0,150.0,2.1
1,4,20.0,150.0,2.1
1,5,3.0,10.0,1.5
1,5,4.0,20.0,1.5
1,5,5.0,20.0,1.5
1,5,18.0,160.0,2.6
1,5,19.0,170.0,3.1
1,5,20.0,190.0,2.6
1,5,21.0,210.0,2.6
1,5,22.0,190.0,3.1
1,5,23.0,230.0,3.6
1,6,7.0,70.0,2.1
1,6,8.0,250.0,2.1
1,6,9.0,250.0,3.6
1,6,10.0,240.0,1.5
1,6,12.0,210.0,1.5
1,6,13.0,20.0,1.5
1,6,14.0,30.0,2.1
1,6,15.0,330.0,1.5
1,6,17.0,270.0,2.1
1,6,18.0,270.0,1.5
1,6,19.0,140.0,2.1
1,6,23.0,220.0,3.1
1,7,1.0,240.0,2.6
1,7,2.0,260.0,1.5
1,7,7.0,20.0,1.5
1,7,12.0,280.0,1.5
1,7,18.0,270.0,1.5
1,7,19.0,260.0,2.1
1,7,20.0,140.0,2.1
1,8,3.0,20.0,1.5
1,8,15.0,40.0,1.5
1,8,16.0,300.0,1.5
1,8,18.0,250.0,2.6
1,8,20.0,210.0,2.1
1,8,21.0,230.0,1.5
1,9,8.0,50.0,1.5
1,9,16.0,90.0,2.1
1,9,17.0,270.0,2.1
1,9,18.0,50.0,1.5
1,9,19.0,180.0,2.6
1,9,20.0,220.0,2.1
1,9,21.0,240.0,2.6
1,9,22.0,290.0,3.6
1,9,23.0,280.0,2.6
1,10,2.0,110.0,2.1
1,10,5.0,60.0,1.5
1,10,17.0,160.0,2.1
1,10,18.0,160.0,2.6
1,10,19.0,180.0,2.6
1,10,21.0,130.0,2.1
1,11,2.0,40.0,2.1
1,11,3.0,10.0,1.5
1,11,7.0,40.0,1.5
1,11,8.0,320.0,1.5
1,11,10.0,50.0,1.5
1,11,16.0,130.0,2.1
1,11,17.0,140.0,2.1
1,11,18.0,180.0,2.1
1,11,20.0,300.0,1.5
1,11,21.0,280.0,1.5
1,11,23.0,250.0,3.1
1,12,1.0,250.0,1.5
1,12,3.0,20.0,2.1
1,12,6.0,10.0,2.1
1,12,7.0,10.0,1.5
1,12,8.0,40.0,1.5
1,12,17.0,330.0,2.1
1,12,21.0,160.0,2.6
1,12,22.0,160.0,2.6
1,13,1.0,340.0,1.5
1,13,2.0,350.0,1.5
1,13,3.0,310.0,1.5
1,13,4.0,270.0,2.1
1,13,9.0,70.0,1.5
1,13,10.0,50.0,1.5
1,13,15.0,130.0,1.5
1,13,16.0,210.0,2.1
1,13,19.0,230.0,1.5
1,13,20.0,20.0,2.6
1,13,21.0,20.0,3.1
1,13,22.0,200.0,2.6
1,14,1.0,60.0,1.5
1,14,2.0,80.0,1.5
1,14,3.0,350.0,2.1
1,14,4.0,280.0,2.1
1,14,5.0,30.0,2.6
1,14,8.0,40.0,3.1
1,14,9.0,80.0,3.6
1,14,10.0,70.0,4.1
1,14,11.0,60.0,7.7
1,14,13.0,90.0,4.1
1,14,19.0,120.0,3.6
1,14,20.0,110.0,5.7
1,14,21.0,110.0,3.6
1,14,22.0,200.0,5.7
1,14,23.0,100.0,2.1
1,15,3.0,350.0,2.1
1,15,4.0,320.0,1.5
1,15,5.0,350.0,2.1
1,15,7.0,140.0,1.5
1,15,8.0,200.0,1.5
1,15,14.0,300.0,2.1
1,15,16.0,260.0,3.1
1,15,17.0,240.0,3.1
1,15,19.0,260.0,2.6
1,15,21.0,250.0,3.1
1,15,22.0,250.0,3.6
1,15,23.0,250.0,3.6
1,16,1.0,220.0,1.5
1,16,2.0,230.0,1.5
1,16,6.0,130.0,2.6
1,16,7.0,130.0,1.5
1,16,9.0,120.0,1.5
1,16,12.0,270.0,1.5
1,16,13.0,270.0,1.5
1,16,16.0,180.0,2.6
1,16,17.0,220.0,1.5
1,16,19.0,200.0,1.5
1,16,20.0,250.0,3.1
1,16,22.0,230.0,4.1
1,17,1.0,260.0,1.5
1,17,4.0,30.0,1.5
1,17,5.0,20.0,2.6
1,17,9.0,330.0,1.5
1,17,20.0,260.0,2.1
1,17,23.0,300.0,2.1
1,18,1.0,250.0,1.5
1,18,4.0,60.0,1.5
1,18,6.0,40.0,2.1
1,18,7.0,40.0,1.5
1,18,9.0,40.0,1.5
1,18,10.0,270.0,1.5
1,18,17.0,230.0,1.5
1,18,19.0,190.0,2.1
1,18,20.0,120.0,2.1
1,18,21.0,150.0,2.1
1,18,23.0,140.0,2.6
1,19,4.0,340.0,1.5
1,19,7.0,280.0,1.5
1,19,8.0,40.0,1.5
1,19,14.0,130.0,2.1
1,19,15.0,170.0,1.5
1,19,16.0,120.0,2.1
1,19,17.0,140.0,1.5
1,19,18.0,160.0,3.1
1,19,19.0,150.0,3.1
1,19,20.0,150.0,3.1
1,19,21.0,150.0,3.1
1,19,22.0,140.0,3.1
1,19,23.0,130.0,3.1
1,20,2.0,320.0,1.5
1,20,3.0,10.0,1.5
1,20,4.0,340.0,2.6
1,20,5.0,250.0,2.6
1,20,6.0,40.0,1.5
1,20,14.0,140.0,1.5
1,20,15.0,130.0,1.5
1,20,16.0,130.0,2.6
1,20,17.0,160.0,2.6
1,20,18.0,140.0,2.6
1,20,19.0,130.0,3.1
1,20,21.0,120.0,4.1
1,20,22.0,120.0,2.1
1,21,1.0,120.0,2.6
1,21,2.0,120.0,3.1
1,21,4.0,210.0,2.1
1,21,5.0,170.0,2.6
1,21,6.0,150.0,3.6
1,21,7.0,160.0,4.1
1,21,9.0,250.0,6.7
1,21,10.0,250.0,5.1
1,21,11.0,250.0,4.6
