month,day,hour,WD,WS
1,27,2.0,310.0,1.5
1,27,12.0,330.0,2.1
1,27,21.0,320.0,2.6
1,28,1.0,300.0,2.1
1,28,15.0,320.0,1.5
1,28,17.0,320.0,2.6
1,28,20.0,310.0,3.1
1,28,21.0,300.0,2.6
1,29,5.0,50.0,1.5
1,29,7.0,60.0,1.5
1,29,8.0,40.0,1.5
1,29,13.0,40.0,1.5
1,29,14.0,80.0,2.1
1,29,16.0,50.0,1.5
1,29,18.0,320.0,1.5
1,29,20.0,310.0,2.6
1,29,21.0,320.0,2.6
1,30,5.0,20.0,1.5
1,30,6.0,40.0,1.5
1,30,7.0,50.0,1.5
1,30,9.0,60.0,1.5
1,30,11.0,50.0,2.1
1,30,16.0,50.0,2.1
1,30,19.0,310.0,2.6
1,30,22.0,330.0,2.1
1,30,23.0,320.0,2.6
1,31,2.0,50.0,1.5
1,31,3.0,50.0,1.5
1,31,5.0,60.0,1.5
1,31,9.0,70.0,1.5
1,31,14.0,50.0,2.6
1,31,17.0,70.0,2.1
2,1,2.0,60.0,1.5
2,1,3.0,80.0,1.5
2,1,4.0,70.0,1.5
2,2,4.0,100.0,2.6
2,2,14.0,120.0,2.1
2,2,15.0,130.0,2.1
2,3,2.0,140.0,2.6
2,3,3.0,100.0,3.6
2,3,4.0,100.0,3.6
2,3,5.0,100.0,2.6
2,3,6.0,120.0,1.5
2,3,7.0,110.0,2.1
2,3,8.0,110.0,2.1
2,3,10.0,120.0,1.5
2,3,11.0,130.0,2.1
2,3,14.0,110.0,2.1
2,3,15.0,80.0,3.6
2,3,16.0,110.0,2.1
2,3,19.0,130.0,3.6
2,3,23.0,110.0,1.5
2,4,6.0,100.0,6.2
2,4,7.0,110.0,2.6
2,4,9.0,110.0,2.1
2,4,10.0,120.0,2.1
2,4,11.0,120.0,2.1
2,4,12.0,100.0,3.6
2,4,14.0,110.0,2.6
2,4,15.0,90.0,5.1
2,4,16.0,90.0,4.1
2,4,17.0,100.0,2.6
2,4,19.0,100.0,2.6
2,4,20.0,100.0,4.1
2,4,21.0,100.0,2.6
2,4,22.0,110.0,2.1
2,4,23.0,120.0,2.1
2,5,1.0,100.0,4.1
2,5,2.0,100.0,3.6
2,5,3.0,90.0,5.1
2,5,4.0,100.0,3.6
2,5,5.0,110.0,3.1
2,5,6.0,100.0,3.1
2,5,7.0,110.0,2.6
2,5,8.0,100.0,2.1
2,5,9.0,130.0,3.1
2,5,10.0,120.0,2.1
2,5,11.0,110.0,2.6
2,5,12.0,130.0,1.5
2,5,13.0,110.0,2.1
2,5,15.0,130.0,2.6
2,5,16.0,120.0,2.1
2,5,18.0,120.0,3.6
2,5,19.0,130.0,3.1
2,5,21.0,120.0,2.6
2,5,23.0,110.0,3.6
2,6,6.0,120.0,2.6
2,6,11.0,110.0,2.6
2,6,12.0,100.0,2.1
2,6,13.0,110.0,2.6
2,6,14.0,110.0,2.6
2,6,15.0,110.0,3.6
2,6,16.0,110.0,2.6
2,6,17.0,100.0,3.1
2,7,1.0,100.0,4.6
2,7,8.0,100.0,4.1
2,7,9.0,110.0,2.6
2,7,10.0,100.0,2.6
2,7,11.0,100.0,3.6
2,7,12.0,100.0,3.1
2,7,13.0,120.0,2.1
2,7,14.0,120.0,1.5
2,7,22.0,210.0,3.1
2,8,2.0,130.0,3.1
2,8,6.0,110.0,2.6
2,8,7.0,90.0,3.6
2,8,8.0,110.0,2.6
2,8,9.0,120.0,2.1
2,8,10.0,120.0,2.1
2,8,11.0,100.0,3.1
2,8,12.0,110.0,2.6
2,8,13.0,100.0,2.1
2,8,16.0,110.0,2.1
2,8,17.0,110.0,2.1
2,8,18.0,100.0,2.6
2,8,19.0,110.0,3.1
2,8,20.0,110.0,3.6
2,8,22.0,110.0,2.6
2,8,23.0,120.0,2.6
2,9,1.0,110.0,2.6
2,9,2.0,110.0,3.1
2,9,7.0,140.0,1.5
2,9,9.0,130.0,3.6
2,9,12.0,110.0,2.6
2,9,13.0,120.0,2.6
2,10,1.0,60.0,1.5
2,10,2.0,90.0,2.6
2,10,3.0,100.0,3.1
2,10,4.0,100.0,2.1
2,10,5.0,100.0,3.1
2,10,7.0,110.0,2.6
2,10,8.0,100.0,2.6
2,10,19.0,110.0,2.1
2,10,21.0,120.0,1.5
2,11,6.0,350.0,3.6
2,11,7.0,340.0,3.6
2,11,8.0,330.0,4.1
2,11,18.0,340.0,2.1
2,11,20.0,360.0,3.6
2,11,21.0,10.0,4.6
2,12,3.0,50.0,1.5
2,12,4.0,60.0,2.1
2,12,10.0,60.0,1.5
2,12,13.0,60.0,2.1
2,12,14.0,60.0,1.5
2,12,16.0,50.0,1.5
2,12,20.0,310.0,4.1
2,12,22.0,310.0,2.6
2,12,23.0,310.0,1.5
2,13,5.0,50.0,1.5
2,13,8.0,60.0,1.5
2,13,9.0,50.0,2.1
2,13,10.0,70.0,1.5
2,13,12.0,50.0,1.5
2,13,21.0,330.0,1.5
2,13,22.0,310.0,2.1
2,14,6.0,40.0,1.5
2,14,12.0,60.0,1.5
2,14,16.0,30.0,1.5
2,15,1.0,130.0,1.5
2,15,7.0,120.0,2.1
2,15,8.0,110.0,1.5
2,15,9.0,120.0,1.5
2,15,10.0,120.0,1.5
2,15,11.0,130.0,2.1
2,15,13.0,110.0,1.5
