month,day,hour,WD,WS
1,1,3.0,190.0,2.1
1,1,4.0,180.0,1.5
1,1,6.0,200.0,2.1
1,1,7.0,170.0,1.5
1,1,12.0,250.0,1.5
1,2,5.0,220.0,1.5
1,2,14.0,10.0,2.1
1,2,15.0,10.0,2.1
1,2,16.0,20.0,1.5
1,2,21.0,10.0,2.1
1,3,1.0,350.0,1.5
1,3,3.0,10.0,1.5
1,3,4.0,360.0,2.1
1,3,5.0,360.0,1.5
1,3,7.0,10.0,1.5
1,3,11.0,360.0,1.5
1,3,13.0,360.0,1.5
1,3,17.0,350.0,1.5
1,3,23.0,330.0,1.5
1,4,22.0,10.0,2.1
1,4,23.0,360.0,2.1
1,5,10.0,340.0,1.5
1,5,13.0,320.0,2.6
1,5,14.0,340.0,1.5
1,5,15.0,300.0,1.5
1,5,16.0,340.0,1.5
1,5,22.0,10.0,1.5
1,5,23.0,330.0,1.5
1,6,1.0,320.0,1.5
1,6,9.0,320.0,1.5
1,6,11.0,300.0,1.5
1,6,13.0,330.0,1.5
1,6,14.0,310.0,3.1
1,6,15.0,330.0,2.6
1,6,16.0,340.0,3.1
1,6,17.0,340.0,2.6
1,6,18.0,350.0,3.1
1,6,19.0,350.0,3.1
1,6,21.0,350.0,2.6
1,7,2.0,330.0,1.5
1,7,9.0,320.0,1.5
1,7,12.0,320.0,1.5
1,7,15.0,310.0,2.6
1,7,16.0,330.0,1.5
1,7,17.0,330.0,2.1
1,7,18.0,360.0,1.5
1,7,19.0,360.0,2.6
1,7,20.0,340.0,2.6
1,7,21.0,350.0,2.1
1,7,22.0,360.0,2.1
1,7,23.0,340.0,2.1
1,8,15.0,310.0,1.5
1,8,16.0,360.0,1.5
1,8,17.0,360.0,1.5
1,8,18.0,300.0,1.5
1,8,19.0,360.0,1.5
1,8,20.0,330.0,2.6
1,8,21.0,330.0,2.1
1,8,23.0,330.0,2.6
1,9,1.0,320.0,3.1
1,9,3.0,320.0,3.1
1,9,4.0,330.0,2.1
1,9,5.0,300.0,2.6
1,9,6.0,300.0,2.6
1,9,7.0,320.0,1.5
1,9,8.0,350.0,1.5
1,9,12.0,350.0,2.1
1,9,20.0,190.0,1.5
1,9,22.0,330.0,1.5
1,11,20.0,160.0,4.1
1,11,22.0,140.0,3.1
1,11,23.0,110.0,3.6
1,12,1.0,160.0,2.1
1,12,2.0,170.0,2.6
1,12,8.0,170.0,2.6
1,12,19.0,160.0,3.6
1,12,20.0,170.0,5.7
1,12,21.0,170.0,4.1
1,12,22.0,170.0,4.1
1,12,23.0,170.0,3.6
1,13,13.0,170.0,1.5
1,13,18.0,10.0,2.1
1,13,20.0,360.0,1.5
1,13,21.0,350.0,1.5
1,14,11.0,300.0,2.1
1,14,12.0,340.0,2.1
1,14,13.0,340.0,3.1
1,14,15.0,330.0,3.1
1,14,16.0,320.0,4.1
1,14,17.0,330.0,3.1
1,14,18.0,350.0,3.6
1,14,19.0,350.0,3.1
1,14,20.0,350.0,2.6
1,14,21.0,360.0,2.6
1,14,22.0,340.0,2.6
1,15,5.0,340.0,2.1
1,15,9.0,330.0,1.5
1,15,10.0,330.0,1.5
1,15,14.0,330.0,1.5
1,15,18.0,330.0,2.6
1,15,19.0,360.0,2.1
1,15,20.0,170.0,1.5
1,15,21.0,160.0,1.5
1,15,22.0,170.0,2.6
1,15,23.0,180.0,2.6
1,16,16.0,300.0,2.1
1,16,18.0,350.0,3.6
1,16,19.0,350.0,2.1
1,16,21.0,360.0,1.5
1,17,3.0,350.0,2.1
1,17,4.0,330.0,1.5
1,17,5.0,350.0,2.1
1,17,9.0,330.0,2.6
1,17,10.0,320.0,2.6
