month,day,hour,WD,WS
1,1,4.0,260.0,2.1
1,1,8.0,260.0,2.6
1,1,11.0,170.0,1.5
1,1,15.0,70.0,2.1
1,1,18.0,40.0,1.5
1,1,20.0,50.0,1.5
1,1,22.0,70.0,2.1
1,2,1.0,90.0,1.5
1,2,8.0,70.0,2.1
1,2,17.0,90.0,1.5
1,2,19.0,170.0,1.5
1,2,20.0,180.0,1.5
1,2,22.0,90.0,2.1
1,3,3.0,200.0,1.5
1,3,6.0,140.0,1.5
1,3,10.0,240.0,3.1
1,3,11.0,200.0,2.6
1,3,12.0,210.0,3.6
1,3,13.0,220.0,2.6
1,3,14.0,210.0,2.1
1,3,17.0,210.0,2.1
1,3,22.0,230.0,2.6
1,3,23.0,260.0,3.6
1,4,4.0,240.0,3.1
1,4,5.0,250.0,2.1
1,4,7.0,260.0,3.1
1,4,10.0,260.0,2.1
1,4,11.0,280.0,2.1
1,4,12.0,300.0,2.1
1,4,15.0,340.0,5.7
1,4,16.0,350.0,2.6
1,4,17.0,330.0,3.6
1,4,20.0,70.0,3.1
1,4,22.0,350.0,2.6
1,4,23.0,340.0,2.6
1,5,9.0,50.0,1.5
1,5,10.0,50.0,2.1
1,5,12.0,50.0,2.1
1,5,13.0,50.0,1.5
1,5,17.0,90.0,2.6
1,5,23.0,210.0,1.5
1,6,5.0,330.0,3.1
1,6,6.0,70.0,3.1
1,6,7.0,70.0,2.6
1,6,10.0,340.0,2.1
1,6,12.0,70.0,3.1
1,7,3.0,40.0,2.6
1,7,5.0,50.0,2.6
1,7,11.0,40.0,2.6
1,7,12.0,20.0,1.5
1,7,14.0,330.0,2.6
1,8,2.0,300.0,1.5
1,8,9.0,340.0,3.1
1,8,14.0,190.0,1.5
1,8,16.0,280.0,1.5
1,8,19.0,120.0,2.1
1,8,20.0,160.0,2.1
1,8,23.0,160.0,1.5
1,9,15.0,190.0,2.1
1,9,18.0,230.0,4.1
1,9,19.0,220.0,4.6
1,9,20.0,230.0,3.6
1,9,21.0,220.0,3.6
1,9,22.0,220.0,3.1
1,9,23.0,200.0,1.5
1,10,2.0,220.0,2.1
1,10,4.0,270.0,2.6
1,10,5.0,250.0,1.5
1,10,10.0,260.0,2.1
1,10,11.0,260.0,2.1
1,10,12.0,280.0,2.1
1,10,13.0,240.0,1.5
1,10,14.0,260.0,2.6
1,10,15.0,270.0,2.6
1,10,16.0,260.0,3.6
1,10,17.0,260.0,3.1
1,10,18.0,230.0,3.6
1,10,19.0,250.0,3.1
1,10,21.0,250.0,1.5
1,10,22.0,260.0,2.1
1,10,23.0,230.0,1.5
1,11,2.0,280.0,2.6
1,11,3.0,230.0,1.5
1,11,20.0,200.0,1.5
1,12,1.0,190.0,2.1
1,12,5.0,220.0,1.5
1,12,9.0,210.0,1.5
1,12,10.0,220.0,2.6
1,12,11.0,250.0,2.6
1,12,12.0,250.0,1.5
1,12,13.0,250.0,1.5
1,12,16.0,220.0,5.1
1,12,17.0,230.0,4.1
1,12,18.0,220.0,3.6
1,12,19.0,210.0,4.1
1,12,20.0,210.0,3.1
1,12,22.0,210.0,4.6
1,13,2.0,240.0,1.5
1,13,3.0,220.0,1.5
1,13,5.0,220.0,1.5
1,13,9.0,190.0,1.5
1,13,12.0,250.0,1.5
1,13,14.0,60.0,1.5
1,13,21.0,60.0,1.5
1,13,22.0,70.0,1.5
1,14,19.0,210.0,1.5
1,14,21.0,220.0,1.5
1,14,23.0,210.0,1.5
1,15,1.0,220.0,1.5
1,15,5.0,280.0,3.1
1,15,6.0,210.0,2.1
1,15,8.0,220.0,2.6
1,16,6.0,90.0,1.5
1,16,14.0,70.0,1.5
1,17,6.0,200.0,1.5
1,17,7.0,210.0,1.5
1,17,8.0,220.0,1.5
1,17,11.0,250.0,1.5
1,17,14.0,250.0,1.5
1,17,16.0,270.0,1.5
1,17,19.0,260.0,1.5
1,17,20.0,290.0,2.1
1,17,21.0,270.0,2.1
1,17,23.0,230.0,2.1
1,18,5.0,250.0,3.6
1,18,7.0,250.0,3.1
1,18,8.0,220.0,2.1
1,18,10.0,250.0,3.6
1,18,12.0,220.0,1.5
1,18,13.0,230.0,2.1
1,18,18.0,190.0,1.5
1,18,20.0,180.0,1.5
1,19,8.0,70.0,1.5
1,19,15.0,70.0,2.6
1,19,16.0,80.0,2.1
1,19,18.0,70.0,2.1
1,19,21.0,40.0,1.5
1,19,22.0,60.0,1.5
1,19,23.0,50.0,2.1
1,20,1.0,40.0,2.1
1,20,2.0,60.0,1.5
1,20,5.0,210.0,1.5
1,20,9.0,180.0,2.6
1,20,18.0,260.0,1.5
1,20,19.0,210.0,3.6
1,20,20.0,210.0,4.1
1,20,22.0,210.0,2.6
1,20,23.0,180.0,1.5
1,21,9.0,260.0,1.5
1,21,17.0,160.0,2.1
1,21,19.0,80.0,4.1
1,21,22.0,80.0,2.1
1,22,6.0,60.0,1.5
1,22,11.0,70.0,2.6
1,22,14.0,110.0,2.1
1,22,17.0,270.0,2.6
1,22,18.0,230.0,2.1
1,22,19.0,280.0,3.1
1,22,22.0,60.0,2.6
1,23,1.0,50.0,3.6
1,23,2.0,50.0,5.7
1,23,3.0,40.0,2.6
1,23,5.0,350.0,4.1
1,23,7.0,90.0,3.1
1,23,10.0,250.0,2.6
1,23,15.0,200.0,2.1
1,23,16.0,350.0,3.6
1,23,17.0,330.0,3.6
1,23,18.0,310.0,3.1
1,23,19.0,310.0,4.1
1,23,20.0,320.0,4.6
1,23,21.0,320.0,4.6
1,23,22.0,330.0,4.6
1,23,23.0,290.0,2.1
1,24,1.0,260.0,2.1
1,24,6.0,220.0,3.6
1,24,7.0,260.0,4.1
1,24,9.0,260.0,2.6
1,24,15.0,270.0,3.1
1,24,16.0,260.0,2.1
1,24,17.0,260.0,1.5
1,24,19.0,210.0,2.1
1,24,20.0,270.0,2.1
1,24,23.0,260.0,1.5
1,25,19.0,260.0,2.6
1,25,21.0,260.0,2.1
1,25,23.0,210.0,3.1
1,26,1.0,220.0,1.5
1,26,2.0,270.0,1.5
1,26,4.0,210.0,2.6
1,26,6.0,220.0,1.5
1,26,7.0,240.0,2.1
1,26,8.0,250.0,4.1
1,26,9.0,260.0,6.7
1,26,10.0,270.0,3.1
1,26,11.0,220.0,2.1
1,26,13.0,260.0,3.1
1,26,14.0,270.0,3.6
1,26,15.0,260.0,4.6
1,26,16.0,260.0,4.1
1,26,17.0,270.0,6.2
1,26,18.0,270.0,4.6
1,26,20.0,260.0,4.1
1,26,21.0,260.0,4.1
1,26,22.0,280.0,3.6
1,26,23.0,270.0,3.1
1,27,1.0,270.0,3.6
1,27,3.0,290.0,2.6
1,27,4.0,290.0,1.5
1,27,5.0,290.0,2.1
1,27,6.0,260.0,2.6
1,27,7.0,280.0,2.1
1,27,8.0,250.0,2.6
1,27,9.0,260.0,3.1
1,27,10.0,260.0,2.6
1,27,11.0,270.0,3.1
1,27,12.0,270.0,3.1
1,27,14.0,270.0,3.1
1,27,16.0,250.0,2.6
1,27,17.0,260.0,4.6
1,27,18.0,260.0,6.2
1,27,19.0,270.0,4.1
1,27,20.0,280.0,3.6
1,27,21.0,270.0,3.1
1,28,8.0,240.0,1.5
1,28,9.0,240.0,3.6
1,28,10.0,260.0,3.6
1,28,11.0,240.0,2.1
1,28,12.0,230.0,2.1
1,28,14.0,240.0,2.1
1,28,15.0,230.0,2.6
1,28,16.0,210.0,3.1
1,28,18.0,220.0,4.6
1,28,19.0,230.0,3.6
1,28,20.0,200.0,3.6
1,28,21.0,220.0,4.6
1,28,22.0,220.0,5.1
1,29,1.0,230.0,3.1
1,29,2.0,210.0,3.6
1,29,4.0,260.0,2.1
1,29,5.0,290.0,5.7
1,29,6.0,270.0,3.1
1,29,14.0,230.0,1.5
1,29,16.0,220.0,3.6
1,29,17.0,260.0,3.1
1,29,19.0,220.0,2.6
1,29,21.0,270.0,3.6
1,29,22.0,280.0,3.1
1,30,1.0,260.0,3.6
1,30,3.0,280.0,3.1
1,30,5.0,270.0,3.6
1,30,6.0,250.0,3.6
1,30,7.0,290.0,4.1
1,30,8.0,280.0,3.1
1,30,10.0,210.0,1.5
1,30,12.0,210.0,2.1
1,30,15.0,220.0,2.1
