month,day,hour,WD,WS
1,1,1.0,290.0,1.5
1,1,2.0,300.0,1.5
1,1,5.0,300.0,1.5
1,1,6.0,310.0,2.1
1,1,7.0,290.0,1.5
1,1,8.0,300.0,2.1
1,1,9.0,290.0,1.5
1,1,11.0,310.0,1.5
1,1,14.0,310.0,1.5
1,1,19.0,270.0,2.1
1,1,22.0,280.0,4.1
1,1,23.0,240.0,3.6
1,2,3.0,310.0,2.1
1,2,4.0,290.0,2.1
1,2,5.0,270.0,1.5
1,2,8.0,360.0,2.1
1,2,20.0,120.0,1.5
1,3,22.0,300.0,2.1
1,4,21.0,310.0,1.5
1,5,10.0,320.0,1.5
1,5,15.0,290.0,1.5
1,5,18.0,110.0,1.5
1,5,19.0,120.0,1.5
1,5,20.0,110.0,1.5
1,6,1.0,320.0,1.5
1,6,2.0,300.0,1.5
1,6,4.0,320.0,1.5
1,6,12.0,310.0,1.5
1,7,4.0,310.0,1.5
1,7,5.0,310.0,1.5
1,7,7.0,320.0,1.5
1,7,8.0,320.0,1.5
1,7,11.0,320.0,1.5
1,8,9.0,250.0,3.6
1,8,11.0,270.0,4.1
1,8,17.0,260.0,2.1
1,8,18.0,270.0,1.5
1,9,7.0,280.0,1.5
1,9,10.0,250.0,3.6
1,9,21.0,270.0,3.6
1,9,22.0,260.0,4.1
1,10,1.0,260.0,3.6
1,10,2.0,270.0,3.6
1,10,3.0,280.0,5.7
1,10,5.0,250.0,3.6
1,10,6.0,270.0,4.1
1,10,10.0,270.0,3.6
1,10,11.0,270.0,3.1
1,10,18.0,260.0,3.6
1,10,19.0,270.0,5.1
1,10,20.0,270.0,3.6
1,10,21.0,270.0,5.7
1,10,22.0,260.0,4.1
1,10,23.0,280.0,3.1
1,11,5.0,270.0,3.6
1,11,7.0,270.0,2.6
1,11,20.0,280.0,3.6
1,11,22.0,270.0,4.1
1,12,1.0,280.0,3.1
1,12,6.0,280.0,5.7
1,18,6.0,310.0,1.5
1,19,18.0,110.0,1.5
1,21,6.0,290.0,1.5
1,21,20.0,80.0,1.5
1,22,3.0,270.0,2.6
1,22,4.0,220.0,1.5
