month,day,hour,WD,WS
1,1,1.0,130.0,1.5
1,1,19.0,120.0,2.1
1,1,20.0,130.0,4.1
1,1,22.0,100.0,1.5
1,2,17.0,130.0,2.1
1,3,4.0,260.0,2.1
1,3,17.0,300.0,1.5
1,3,20.0,340.0,3.1
1,3,22.0,340.0,5.1
1,3,23.0,330.0,5.1
1,4,1.0,320.0,3.6
1,4,2.0,330.0,2.6
1,4,3.0,340.0,3.6
1,4,4.0,320.0,4.1
1,4,5.0,330.0,3.6
1,4,6.0,330.0,3.6
1,4,7.0,330.0,2.6
1,4,8.0,330.0,2.6
1,4,9.0,330.0,2.6
1,4,10.0,330.0,2.1
1,4,11.0,330.0,2.1
1,4,15.0,340.0,2.1
1,4,19.0,100.0,2.1
1,4,20.0,90.0,1.5
1,5,3.0,110.0,1.5
1,5,4.0,120.0,2.1
1,5,5.0,130.0,2.1
1,5,6.0,120.0,1.5
1,5,7.0,120.0,2.1
1,5,20.0,340.0,2.6
1,5,21.0,330.0,3.1
1,5,22.0,10.0,1.5
1,5,23.0,340.0,2.6
1,6,1.0,330.0,3.1
1,6,2.0,340.0,2.1
1,6,3.0,340.0,2.6
1,6,4.0,350.0,2.6
1,6,6.0,10.0,2.6
1,6,9.0,20.0,3.6
1,6,12.0,340.0,3.6
1,7,1.0,330.0,2.1
1,7,2.0,320.0,2.1
1,7,3.0,330.0,2.1
1,7,5.0,310.0,1.5
1,7,7.0,300.0,1.5
1,7,19.0,240.0,2.6
1,7,23.0,340.0,1.5
1,8,21.0,170.0,3.6
1,8,22.0,150.0,5.1
1,9,1.0,150.0,2.6
1,9,2.0,140.0,4.1
1,9,3.0,140.0,1.5
1,9,6.0,150.0,1.5
1,9,16.0,190.0,2.1
1,9,20.0,140.0,2.6
1,9,22.0,150.0,4.1
1,9,23.0,140.0,4.1
1,10,2.0,140.0,4.1
1,10,5.0,210.0,4.1
1,10,8.0,210.0,3.6
1,10,9.0,210.0,4.1
1,10,10.0,220.0,4.6
1,10,11.0,210.0,4.1
1,10,12.0,190.0,6.2
1,10,13.0,230.0,5.7
1,11,12.0,230.0,3.6
1,11,15.0,230.0,4.1
1,11,19.0,230.0,5.1
1,11,20.0,220.0,5.1
1,11,21.0,200.0,5.1
1,11,22.0,210.0,4.1
1,11,23.0,220.0,3.6
1,12,5.0,220.0,4.6
1,12,7.0,240.0,3.6
1,12,10.0,230.0,3.6
1,12,11.0,260.0,3.1
1,13,12.0,90.0,2.1
1,13,14.0,80.0,1.5
1,13,21.0,100.0,1.5
1,13,23.0,90.0,1.5
1,15,10.0,100.0,1.5
1,15,11.0,80.0,1.5
1,15,14.0,100.0,1.5
1,15,18.0,100.0,2.1
1,15,21.0,70.0,1.5
1,16,2.0,100.0,1.5
1,16,3.0,130.0,2.6
1,16,4.0,90.0,1.5
1,16,5.0,120.0,1.5
1,16,8.0,100.0,2.1
1,16,9.0,130.0,2.6
1,16,10.0,90.0,1.5
1,16,11.0,70.0,1.5
1,16,13.0,140.0,5.1
1,16,15.0,160.0,3.1
1,17,6.0,330.0,2.1
1,17,10.0,330.0,1.5
1,17,11.0,340.0,2.6
1,17,13.0,340.0,1.5
1,17,15.0,330.0,3.6
1,17,16.0,320.0,3.1
1,17,21.0,350.0,2.1
1,18,9.0,130.0,1.5
1,18,11.0,310.0,2.1
1,18,19.0,310.0,2.1
1,18,20.0,100.0,2.1
1,19,15.0,130.0,1.5
1,19,20.0,140.0,1.5
1,20,13.0,210.0,3.1
1,20,20.0,230.0,4.6
1,21,5.0,230.0,3.6
1,21,19.0,140.0,1.5
1,21,21.0,130.0,3.6
1,21,23.0,100.0,1.5
1,22,3.0,80.0,2.1
1,22,4.0,330.0,1.5
1,22,14.0,340.0,1.5
1,22,16.0,290.0,1.5
